beta0	A1	B1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.123253299854696	0.123253299854696	0.123253299854696
0	0	0
-0.336714491154999	-0.336714491154999	-0.336714491154999
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	-0.121696297178278	-0.210973108373582
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.38431579626631	-0.218464647687506	-0.183842992177233
0	0	0
0	0	0
-0.157579506328329	-0.0292131057940423	0.00897525900509213
0	0	0
-0.334094412089325	-0.334094412089325	-0.334094412089325
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.116105802706443	0.116105802706443	0.116105802706443
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.23427669852972	-0.23427669852972	-0.23427669852972
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	-0.151919047941919	-0.197454028017819
-0.148795431829058	-0.148795431829058	-0.148795431829058
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.331080428767018	0.331080428767018	0.331080428767018
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0.142717121099122	0.142717121099122	0.142717121099122
0	0	0
0.247028219909407	0.247028219909407	0.247028219909407
0	0	0
0	0	0
0	0	0
0	0	0
-0.138833317090757	-0.138833317090757	-0.138833317090757
